row;outline_level;thema;original_text;page_id;slug
1090;3;AdminZipEdit-Anhang;Attachment;;
1097;3;AttachmentEdit-Hochgeladene Dateien;Zugeordnete Datei.;;
1103;3;AttachmentStatusEdit-Benutzer;User;;
1106;3;AttachmentStatusEdit-LicenseEntryRequired;LicenseEntryRequired;;
1107;3;AttachmentStatusEdit-LicenseMatchingRequired;LicenseMatchingRequired;;
1108;3;AttachmentStatusEdit-UpdateDatabase;UpdateDatabase;;
1145;4;ArticleSalesPriceListList;ArticleSalesPriceListList;;
1161;4;PartnerPurchasePriceListList;PartnerPurchasePriceListList;;
1207;3;ArticleEdit-Set;Set;;
1208;4;ArticleSetList;ArticleSetList;;
1222;4;ArticleMacroList;ArticleMacroList;;
1228;3;ArticleEdit-Produktion;Production;;
1229;4;ArticleProductList;ArticleProductList;;
1241;3;ArticleEdit-Zubehör;Accessory;;
1242;4;ArticleAccessoryList;ArticleAccessoryList;;
1252;4;ArticleCategoryList;ArticleCategoryList;;
1257;4;PartnerCatalogNumberList;PartnerCatalogNumberList;;
1262;3;ArticleEdit-Produktionsschritt-Ressourcen;Production Step Resources;;
1263;4;ArticleProductionStepResourceList;ArticleProductionStepResourceList;;
1275;3;ArticleEdit-Produktionsschritt-Artikel;Production Step Article;;
1276;4;ArticleProductionStepComponentList;ArticleProductionStepComponentList;;
1284;3;ArticleEdit-Produktionszeit;Production Time;;
1287;4;ArticleDocPositionList;ArticleDocPositionList;;
1302;4;ArticleRevenueList;ArticleRevenueList;;
1312;4;ArticleDocPositionList;ArticleDocPositionList;;
1331;4;ArticleHistoryList;ArticleHistoryList;;
1342;4;AttachmentList;AttachmentList;;
1351;4;ArticleUsageSetList;ArticleUsageSetList;;
1359;4;ArticleUsageProductionList;ArticleUsageProductionList;;
1367;4;ArticleQuantityHistoryTableList;ArticleQuantityHistoryTableList;;
1403;3;ArticleEdit_Procurement-Übersicht;;;
1415;3;ArticleGroupEdit-ArticleHistoryDetail;ArticleHistoryDetail;;
1463;3;ArticleIndividualizationEdit_DeviceService-Dok;Eingabefeld für: Dok.;;
1464;3;ArticleIndividualizationEdit_DeviceService-Betreff;Kurze Betreffzeile zum Inhalt.;;
1465;3;ArticleIndividualizationEdit_DeviceService-Dok-Datum;Datum des Dokuments.;;
1466;3;ArticleIndividualizationEdit_DeviceService-Netto;Eingabefeld für: Netto.;;
1467;3;ArticleIndividualizationEdit_DeviceService-Brutto;Eingabefeld für: Brutto.;;
1468;3;ArticleIndividualizationEdit_DeviceService-Status;Aktueller Bearbeitungsstatus.;;
1469;3;ArticleIndividualizationEdit_DeviceService-ArticleIndividualizationQuantityHistoryDetail;ArticleIndividualizationQuantityHistoryDetail;;
1501;3;ArticleProductEdit-Mengeneinheit;Einheit, in der die Menge erfasst wird.;;
1519;3;ArticleProductionStepComponentEdit-Preise;Prices;;
1521;3;ArticleProductionStepComponentEdit-Info;Info;;
1547;3;ArticleProductionStepResourceEdit-Aufgabenbeziehung;Task Relationship;;
1548;3;ArticleProductionStepResourceEdit-Verknüpfte Position;Eingabefeld für: Verknüpfte Position.;;
1549;3;ArticleProductionStepResourceEdit-Unteraufgabe;Eingabefeld für: Unteraufgabe.;;
1550;3;ArticleProductionStepResourceEdit-Vorheriger Produktionsschritt;Eingabefeld für: Vorheriger Produktionsschritt.;;
1551;3;ArticleProductionStepResourceEdit-Vorheriger Produktionsschritt Abhängigkeit;Eingabefeld für: Vorheriger Produktionsschritt Abhängigkeit.;;
1552;3;ArticleProductionStepResourceEdit-ArticleQuantityHistoryTableDetail;ArticleQuantityHistoryTableDetail;;
1560;3;ArticleSalesPriceListEdit-Fremdwährung;Betrag in der Fremdwährung.;;
1571;3;ArticleSalesPriceWizard-Gültig ab Datum;Relevantes Datum.;;
1574;3;ArticleSalesPriceWizard-Absoluten Preis setzen;Preisangabe.;;
1575;3;ArticleSalesPriceWizard-oder Faktor;Berechnungsfaktor.;;
1576;3;ArticleSalesPriceWizard-oder Differenz;Eingabefeld für: oder Differenz.;;
1624;3;ArticleUoMEdit-Artikel-Übersetzungen;Article Translations;;
1635;3;OutputControlPrinterConfigurationEdit-Dokument;Document;;
1641;3;DocEdit-Dok Kategorie;Eingabefeld für: Dok Kategorie.;;
1643;3;DocEdit-DocEdit_ArchiveExternalFile;DocEdit_ArchiveExternalFile;;
1644;3;DocEdit-DocEdit_BillingAddress;DocEdit_BillingAddress;;
1670;3;DocEdit-DocEdit_DeliveryAddress;DocEdit_DeliveryAddress;;
1696;3;DocEdit-DocEdit_Details;DocEdit_Details;;
1718;3;DocEdit_Overview-Tel.1;Primäre Telefonnummer.;;
1727;3;DocEdit_Overview-E-Mail;E-Mail-Adresse für die Kommunikation.;;
1735;3;DocImportXml-Xml;Eingabefeld für: Xml.;;
1736;3;DocImportXml-DocRelationshipMap;DocRelationshipMap;;
1738;3;DocSetFirstNumber-Dok-Typ;Art des Dokuments.;;
1739;3;DocSetFirstNumber-Aktueller Sequenzwert;Eingabefeld für: Aktueller Sequenzwert.;;
1740;3;DocSetFirstNumber-Erste Dok-Nummer;Eindeutige Nummer.;;
1741;3;DocSetFirstNumber-Beschaffungsassistent;Procurement Assistant;;
1789;3;DocXmlEdit-2;py-2;;
1791;3;DocXmlEdit-Anhänge;DocXml-Attachments;;
1792;3;DocXmlEdit-Extra-Felder;DocXml-ExtraFields;;
1793;3;DocXmlEdit-Positionen;DocXml-Positions;;
1794;3;DocXmlEdit-Sums;DocXml-Sums;;
1795;3;DocXmlEdit-Taxes;DocXml-Taxes;;
1796;3;DocXmlEdit-Buyer;DocXml-Buyer;;
1887;2;UserLoginSetting;UserLoginSetting;views/user-login-setting;user-login-setting
1888;3;UserLoginSetting-UserRedirectToLogin;UserRedirectToLogin;;
1891;3;RoleEdit-Berechtigungen;RoleEdit-Berechtigungen;;
1901;3;RoleEdit-Systemmenüs;RoleEdit-Systemmenüs;;
1903;3;RoleEdit-Artikel;Article;;
1980;3;ProcurementWizard_Body-Lager von;Lagerbezogene Angabe.;;
1986;3;ProcurementWizard_Body-Lager bis;Lagerbezogene Angabe.;;
1990;3;ProcurementWizard_Body-Standort;Zugeordneter Standort.;;
1991;3;ProcurementWizard_Body-Bulletin;Bulletin;;
1998;3;BulletinEdit-Gelesen von;Eingabefeld für: Gelesen von.;;
1999;3;BulletinEdit-Gelesen am;Eingabefeld für: Gelesen am.;;
2000;3;BulletinEdit-CRM;CRM;;
2009;3;CrmEdit-Tel.1;Primäre Telefonnummer.;;
2028;3;CrmEdit-Belegliste;Document List;;
2045;3;CrmTypeEdit-E-Mail;E-Mail;;
2059;3;Dashboard-Designer-Desktopkonfigurator;Desktop Configurator;;
2062;3;WorkspaceRoleDesktopEdit-Hintergrundfarbe;Eingabefeld für: Hintergrundfarbe.;;
2073;3;WorkspaceRoleDesktopButtonEdit-Schriftfarbe;Eingabefeld für: Schriftfarbe.;;
2080;3;WorkspaceRoleDesktopButtonEdit-Hintergrundfarbe;Eingabefeld für: Hintergrundfarbe.;;
2081;3;WorkspaceRoleDesktopButtonEdit-Rahmenfarbe;Eingabefeld für: Rahmenfarbe.;;
2083;3;WorkspaceRoleMenuButtonEdit-Schriftfarbe;Eingabefeld für: Schriftfarbe.;;
2090;3;WorkspaceRoleMenuButtonEdit-Hintergrundfarbe;Eingabefeld für: Hintergrundfarbe.;;
2091;3;WorkspaceRoleMenuButtonEdit-Rahmenfarbe;Eingabefeld für: Rahmenfarbe.;;
2093;3;WorkspaceRoleMenuEdit-Portal und Webshop;;;
2172;3;EmailTemplateEdit-Extra-Module;Extra Modules;;
2182;3;StickyNoteEdit-StickyNotePanel;StickyNotePanel;;
2185;3;StickyNoteEdit-Intercom;Intercom;;
